loan_status,loan_status_numeric,loan_amnt,issue_d,term,int_rate,installment,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,title,purpose,emp_title,emp_length,home_ownership,annual_inc,verification_status,acc_now_delinq,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,tot_coll_amt,tot_cur_bal,total_acc,total_rev_hi_lim,dti,grade,sub_grade
Fully Paid,6,5500,2017-11-01, 36 months,7.35,170.71,5869.2660205077,5500.0,369.27,0.0,Debt consolidation,debt_consolidation,Senior Project Coordinator,4 years,RENT,62500.0,Not Verified,0.0,0.0,2013-07-01,0.0,,,6.0,0.0,7492,22.6,0.0,7492.0,9.0,33200.0,2.31,A,A4
Current,5,20000,2017-02-01, 60 months,14.99,475.7,11375.16,6275.78,5099.38,0.0,Debt consolidation,debt_consolidation,Teacher,10+ years,MORTGAGE,68000.0,Not Verified,0.0,0.0,1984-12-01,0.0,,,9.0,0.0,21482,64.5,0.0,29091.0,19.0,33300.0,16.03,C,C4
Current,5,25000,2018-11-01, 36 months,7.02,772.16,2306.73,1888.74,417.99,0.0,Credit card refinancing,credit_card,,< 1 year,MORTGAGE,150000.0,Not Verified,0.0,0.0,2000-10-01,1.0,,,19.0,0.0,36104,39.3,0.0,567211.0,32.0,91900.0,17.63,A,A2
Current,5,16800,2018-07-01, 36 months,15.02,582.55,4000.75,2704.99,1295.76,0.0,Credit card refinancing,credit_card,Chief Operating Officer,5 years,MORTGAGE,164000.0,Source Verified,0.0,0.0,2003-09-01,0.0,36.0,,4.0,0.0,29854,100.2,0.0,780426.0,8.0,29800.0,19.51,C,C3
Current,5,31300,2018-09-01, 60 months,27.27,960.82,4709.26,1305.65,3403.61,0.0,Debt consolidation,debt_consolidation,Deputy Network Homeless Coordinator,10+ years,MORTGAGE,122000.0,Not Verified,0.0,0.0,1994-12-01,1.0,63.0,,17.0,0.0,11301,45.9,0.0,494372.0,50.0,24600.0,50.55,E,E5
Current,5,3600,2017-08-01, 36 months,20.0,133.79,2400.22,1534.21,866.01,0.0,Other,other,VP,10+ years,MORTGAGE,78000.0,Source Verified,0.0,3.0,1968-04-01,1.0,1.0,82.0,12.0,1.0,6207,19.8,0.0,6207.0,29.0,31300.0,5.14,D,D4
Charged Off,0,15000,2016-07-01, 60 months,13.99,348.95,4513.03,2428.24,2084.79,0.0,Debt consolidation,debt_consolidation,Production Support Lead,< 1 year,MORTGAGE,72800.0,Not Verified,0.0,0.0,2003-01-01,0.0,62.0,,15.0,0.0,6299,37.7,212.0,165063.0,31.0,16700.0,21.23,C,C3
Current,5,17000,2016-12-01, 60 months,12.74,384.55,10070.5,6073.48,3997.02,0.0,Credit card refinancing,credit_card,AOP Manager,10+ years,RENT,74000.0,Source Verified,0.0,0.0,1986-09-01,0.0,,,13.0,0.0,23542,75.0,0.0,23542.0,20.0,31550.0,10.7,C,C1
Current,5,34075,2018-09-01, 36 months,11.06,1116.55,5593.22,4087.11,1506.11,0.0,Debt consolidation,debt_consolidation,Certified Mechanical Insulator,10+ years,MORTGAGE,96000.0,Source Verified,0.0,1.0,1997-10-01,0.0,15.0,,16.0,0.0,61875,31.5,0.0,300370.0,36.0,151400.0,36.19,B,B3
Current,5,12600,2018-04-01, 36 months,15.04,437.03,4359.77,2953.9,1405.87,0.0,Other,other,,,OWN,130000.0,Verified,0.0,2.0,1978-05-01,0.0,11.0,,7.0,0.0,16241,82.0,0.0,87712.0,37.0,19800.0,32.59,C,C4
