School ID,School Name,School Metro Type,School Percentage Free Lunch,School State,School Zip,School City,School County,School District
005d6d2a801bda4fb6c1cb8f00219405,Eastmont Middle School,suburban,31.0,Utah,84094,Sandy,Salt Lake,Canyons School District
1dc9a8032e07a118c3a44b9593f9cb81,North Layton Junior High School,suburban,34.0,Utah,84041,Layton,Davis,Davis School District
753e813c64bee4ca130b16eb616a483a,Enterprise Elementary School,rural,60.0,Utah,84725,Enterprise,Washington,Washington Co School District
f48e560f29fd1939412341af7d60bdeb,Midvale Middle School,suburban,64.0,Utah,84047,Midvale,Salt Lake,Canyons School District
63a876ec55c3ebef21e71db9643bf6d2,Thomas Jefferson Junior High School,suburban,48.0,Utah,84118,Kearns,Salt Lake,Granite School District
2f07a3de80061d18442a420ae01f99c7,Draper Park Middle School,suburban,12.0,Utah,84020,Draper,Salt Lake,Canyons School District
09a3aab04bedc3bda2821f22f97db48f,Parkside Elementary School,suburban,60.0,Utah,84107,Murray,Salt Lake,Murray City School District
152a47207edcca54d207d0a0cd8bf3cb,Willow Springs Elementary School,suburban,16.0,Utah,84020,Draper,Salt Lake,Canyons School District
1f7913a56254bf7d3789e12badc8ea21,Rose Park Elementary School,urban,84.0,Utah,84116,Salt Lake City,Salt Lake,Salt Lake City School District
33214891804a9f01d06ea5c8a4c6c120,Daybreak Elementary School,suburban,15.0,Utah,84009,South Jordan,Salt Lake,Jordan School District
38a5add033e677dc22cbc2cbbf876648,Academy Park Elementary School,suburban,70.0,Utah,84120,W Valley City,Salt Lake,Granite School District
394228242a2828d0858f8ed6480b8170,Sandy Elementary School,suburban,64.0,Utah,84070,Sandy,Salt Lake,Canyons School District
4e7f549f08d27319f59ff21eb9e2a22b,Franklin Elementary School,urban,94.0,Utah,84104,Salt Lake City,Salt Lake,Salt Lake City School District
5a3aecde861a9d44c680da4ec8bcefd9,Edison Elementary School,urban,93.0,Utah,84104,Salt Lake City,Salt Lake,Salt Lake City School District
